racetrack,country,continent,length,length_type,track_type,race_name,organizer,race_rank,race_type,race_special,latitude,longitude
Sapporo,Japan,Asia,1200,Sprint,Turf,Keeneland Cup,JRA,3,G3,,43.077778,141.325556
Sapporo,Japan,Asia,1200,Sprint,Turf,UHB Sho,JRA,4,Local,,43.077778,141.325556
Sapporo,Japan,Asia,1200,Sprint,Turf,Suzuran Sho,JRA,4,Local,,43.077778,141.325556
Sapporo,Japan,Asia,1500,Mile,Turf,Clover Sho,JRA,4,Local,,43.077778,141.325556
Sapporo,Japan,Asia,1800,Mile,Turf,Queen Stakes,JRA,3,G3,,43.077778,141.325556
Sapporo,Japan,Asia,1800,Mile,Turf,Sapporo Junior Stakes,JRA,3,G3,,43.077778,141.325556
Sapporo,Japan,Asia,1800,Mile,Turf,Cosmos Sho,JRA,4,Local,,43.077778,141.325556
Sapporo,Japan,Asia,2000,Medium,Turf,Sapporo Kinen,JRA,2,G2,,43.077778,141.325556
Sapporo,Japan,Asia,2600,Long,Turf,Sapporo Nikkei Sho,JRA,4,Local,,43.077778,141.325556
Sapporo,Japan,Asia,2600,Long,Turf,Tancho Stakes,JRA,4,Local,,43.077778,141.325556
Sapporo,Japan,Asia,1000,Sprint,Dirt,JRA Sapporo 1000m Dirt,JRA,0,Non-Graded,,43.077778,141.325556
Sapporo,Japan,Asia,1700,Mile,Dirt,Elm Stakes,JRA,3,G3,,43.077778,141.325556
Sapporo,Japan,Asia,2400,Long,Dirt,JRA Sapporo 2400m Dirt,JRA,0,Non-Graded,,43.077778,141.325556
Hakodate,Japan,Asia,1000,Sprint,Turf,JRA Hakodate 1000m Turf,JRA,0,Non-Graded,,41.780639,140.775333
Hakodate,Japan,Asia,1200,Sprint,Turf,Hakodate Sprint Stakes,JRA,3,G3,,41.780639,140.775333
Hakodate,Japan,Asia,1200,Sprint,Turf,Hakodate Junior Stakes,JRA,3,G3,,41.780639,140.775333
Hakodate,Japan,Asia,1800,Mile,Turf,Tomoe Sho,JRA,4,Local,,41.780639,140.775333
Hakodate,Japan,Asia,2000,Medium,Turf,Hakodate Kinen,JRA,3,G3,,41.780639,140.775333
Hakodate,Japan,Asia,2600,Long,Turf,JRA Hakodate 2600m Turf,JRA,0,Non-Graded,,41.780639,140.775333
Hakodate,Japan,Asia,1000,Sprint,Dirt,JRA Hakodate 1000m Dirt,JRA,0,Non-Graded,,41.780639,140.775333
Hakodate,Japan,Asia,1700,Mile,Dirt,Onuma Stakes,JRA,4,Local,,41.780639,140.775333
Hakodate,Japan,Asia,1700,Mile,Dirt,Marine Stakes,JRA,4,Local,,41.780639,140.775333
Hakodate,Japan,Asia,2400,Long,Dirt,JRA Hakodate 2400m Dirt,JRA,0,Non-Graded,,41.780639,140.775333
Niigata,Japan,Asia,1000,Sprint,Turf,Ibis Summer Dash,JRA,3,G3,,37.947638,139.186452
Niigata,Japan,Asia,1000,Sprint,Turf,Idaten Stakes,JRA,4,Local,,37.947638,139.186452
Niigata,Japan,Asia,1000,Sprint,Turf,Lumiere Autumn Dash,JRA,0,Non-Graded,,37.947638,139.186452
Niigata,Japan,Asia,1200,Sprint,Turf,Sprinters Stakes,JRA,1,G1,,37.947638,139.186452
Niigata,Japan,Asia,1400,Sprint,Turf,Dahlia Cup,JRA,4,Local,,37.947638,139.186452
Niigata,Japan,Asia,1400,Sprint,Turf,Toki Stakes,JRA,4,Local,,37.947638,139.186452
Niigata,Japan,Asia,1400,Sprint,Turf,Shinetsu Stakes,JRA,4,Local,,37.947638,139.186452
Niigata,Japan,Asia,1600,Mile,Turf,Sekiya Kinen,JRA,3,G3,,37.947638,139.186452
Niigata,Japan,Asia,1600,Mile,Turf,Niigata Junior Stakes,JRA,3,G3,,37.947638,139.186452
Niigata,Japan,Asia,1600,Mile,Turf,Tanigawadake Stakes,JRA,4,Local,,37.947638,139.186452
Niigata,Japan,Asia,1800,Mile,Turf,Kanetsu Stakes,JRA,4,Local,,37.947638,139.186452
Niigata,Japan,Asia,2000,Medium,Turf,Niigata Daishoten,JRA,3,G3,,37.947638,139.186452
Niigata,Japan,Asia,2000,Medium,Turf,Niigata Kinen,JRA,3,G3,,37.947638,139.186452
Niigata,Japan,Asia,2200,Medium,Turf,JRA Niigata 2200m Turf,JRA,0,Non-Graded,,37.947638,139.186452
Niigata,Japan,Asia,2400,Long,Turf,JRA Niigata 2400m Turf,JRA,0,Non-Graded,,37.947638,139.186452
Niigata,Japan,Asia,1200,Sprint,Dirt,NST Sho,JRA,4,Local,,37.947638,139.186452
Niigata,Japan,Asia,1800,Mile,Dirt,Leopard Stakes,JRA,3,G3,Umamusume Dirt Rising Star,37.947638,139.186452
Niigata,Japan,Asia,1800,Mile,Dirt,BSN Sho,JRA,4,Local,,37.947638,139.186452
Niigata,Japan,Asia,2500,Long,Dirt,JRA Niigata 2500m Dirt,JRA,0,Non-Graded,,37.947638,139.186452
Fukushima,Japan,Asia,1200,Sprint,Turf,Fukushima TV Open,JRA,4,Local,,37.764556,140.482528
Fukushima,Japan,Asia,1200,Sprint,Turf,Fukushima Junior Stakes,JRA,4,Local,,37.764556,140.482528
Fukushima,Japan,Asia,1800,Mile,Turf,Fukushima Fillies Stakes,JRA,3,G3,,37.764556,140.482528
Fukushima,Japan,Asia,1800,Mile,Turf,Radio Nikkei Sho,JRA,3,G3,,37.764556,140.482528
Fukushima,Japan,Asia,1800,Mile,Turf,Kimmokusei Tokubetsu,JRA,4,Local,,37.764556,140.482528
Fukushima,Japan,Asia,2000,Medium,Turf,Tanabata Sho,JRA,3,G3,,37.764556,140.482528
Fukushima,Japan,Asia,2000,Medium,Turf,Fukushima Kinen,JRA,3,G3,,37.764556,140.482528
Fukushima,Japan,Asia,2000,Medium,Turf,Fukushima Mimpo Hai,JRA,4,Local,,37.764556,140.482528
Fukushima,Japan,Asia,2600,Long,Turf,JRA Fukushima 2600m Turf,JRA,0,Non-Graded,,37.764556,140.482528
Fukushima,Japan,Asia,1150,Sprint,Dirt,JRA Fukushima 1150m Dirt,JRA,0,Non-Graded,,37.764556,140.482528
